,JiaoZiVideoPlayer,BaseRecyclerViewAdapterHelper,fresco,MaterialViewPager,mdanalysis,banner,AppIntro,canal,RxPermissions,jmxtrans,weka-3.8,vlayout,mobile-icon-resizer,motogp,Matisse,axios,Luban,bootstrap,logger,lottie-react-native,javascript,website,graphql-engine,flamingo,JCSprout,CircleImageView,Android-PickerView,android,postgres,entt,insolar,SlidingMenu,istio,ionic,zulip,uCrop,spark,HealthTime,Fragmentation,zipkin,Zilliqa,pip,raiden,yebash,mall,brmo,Android-PullToRefresh,thanos,tinker,epoxy,leakcanary,Android-CleanArchitecture,JDeodorant,LightTable,AndroidSwipeLayout,AndroidViewAnimations,RefactoringMiner,abinit,rasa_core,vue,disruptor,rchain,stetho,docker,FizzBuzzEnterpriseEdition,android-async-http,Aelf,SmartRefreshLayout,ViewPagerIndicator,AndroidSlidingUpPanel,websocketd,Calligraphy,core,ubiquity,flask,kbc-ui,holochain-rust,tetris_project,ZfcUser,iotivity,realm-java,HikariCP,nodejs.org,AnySoftKeyboard,iotjs,synfig,arthas,Signal-Android,Telegram,apollo,redisson,picasso,zxing,marko,kafka,android-fly-in-app-navigation,MaterialDesignLibrary,onnx,zsc,java-design-patterns,GSYVideoPlayer,FileDownloader,alfresco-android-app,Lean,rhino,Android-Universal-Image-Loader,sanitize-html,ant,ARouter,recyclerview-animators,crispy-doom,EventBus,greenDAO,symphony,dspot,react-native-navigation,android-Ultra-Pull-To-Refresh,hydrus,hadoop,FlycoTabLayout,MaterialDrawer,mongo,HomeMirror,Android-ObservableScrollView,storm,spoon,reicast-emulator,core-moos,butterknife,jquery,gson,PhotoView,mybatis-3,rasa_nlu,faster-rcnn.pytorch,javascript-algorithms,datadog-agent,BottomBar,testrepository,grin,kdcproxy,dinghy,fastjson,scikit-learn,jadx,PermissionsDispatcher,AVLoadingIndicatorView,wagtail,druid
GSYVideoPlayer,0.45,0.69,0.49,0.52,0.45,0.0,0.5,0.6,0.42,0.43,0.47,0.54,0.53,0.59,0.37,0.41,0.48,0.5,0.36,0.51,0.53,0.48,0.51,0.41,0.39,0.56,0.38,0.53,0.0,0.5,0.46,0.51,0.52,0.46,0.43,0.33,0.57,0.29,0.38,0.43,0.43,0.46,0.42,0.46,0.33,0.42,0.0,0.47,0.46,0.45,0.53,0.54,0.37,0.45,0.65,0.55,0.41,0.46,0.5,0.45,0.5,0.46,0.49,0.46,0.36,0.49,0.47,0.31,0.5,0.6,0.47,0.47,0.5,0.39,0.47,0.21,0.42,0.61,0.39,0.5,0.49,0.47,0.5,0.39,0.53,0.42,0.48,0.42,0.6,0.5,0.4,0.44,0.48,0.36,0.51,0.44,0.23,0.51,0.68,0.48,,0.4,0.43,0.44,0.49,0.46,0.45,0.47,0.42,0.45,0.45,0.62,0.44,0.32,0.33,0.46,0.0,0.52,0.0,0.45,0.41,0.48,0.46,0.44,0.42,0.45,0.45,0.46,0.46,0.51,0.45,0.49,0.47,0.47,0.42,0.39,0.44,0.47,0.47,0.45,0.55,0.41,0.44,0.39,0.53,0.44,0.25,0.47,0.5
HikariCP,0.46,0.64,0.43,0.46,0.49,0.0,0.43,0.64,0.51,0.52,0.51,0.41,0.68,0.5,0.61,0.48,0.64,0.47,0.5,0.53,0.53,0.49,0.47,0.54,0.44,0.59,0.52,0.45,0.0,0.55,0.41,0.38,0.53,0.49,0.52,0.5,0.64,0.36,0.48,0.56,0.37,0.5,0.41,0.42,0.67,0.5,0.0,0.49,0.48,0.52,0.6,0.49,0.38,0.48,0.42,0.6,0.41,0.48,0.41,0.47,0.57,0.47,0.57,0.38,0.47,0.5,0.48,0.74,0.49,0.48,0.49,0.56,0.45,0.44,0.53,0.25,0.46,0.54,0.57,0.49,0.48,,0.55,0.47,0.44,0.5,0.52,0.46,0.58,0.51,0.45,0.55,0.43,0.57,0.39,0.6,0.5,0.49,0.65,0.5,0.5,0.4,0.43,0.53,0.5,0.48,0.44,0.52,0.54,0.57,0.46,0.51,0.52,0.33,0.5,0.49,0.0,0.42,0.0,0.26,0.36,0.52,0.69,0.58,0.46,0.52,0.49,0.49,0.44,0.46,0.47,0.45,0.5,0.48,0.56,0.51,0.5,0.42,0.54,0.48,0.55,0.55,0.45,0.5,0.51,0.49,0.37,0.47,0.42
HomeMirror,0.42,0.61,0.54,0.43,0.51,0.0,0.49,0.35,0.47,0.51,0.45,0.46,0.5,0.31,0.57,0.6,0.54,0.48,0.53,0.5,0.33,0.53,0.6,0.34,0.47,0.66,0.44,0.53,0.0,0.55,0.38,0.56,0.46,0.43,0.44,0.62,0.5,0.49,0.48,0.41,0.54,0.52,0.52,0.51,1.0,0.34,0.0,0.46,0.44,0.52,0.4,0.66,0.46,0.55,0.53,0.5,0.47,0.48,0.44,0.54,0.49,0.49,0.6,0.16,0.47,0.5,0.24,0.72,0.54,0.47,0.52,0.57,0.51,0.31,0.56,0.56,0.28,0.44,0.58,0.51,0.53,0.5,0.52,0.51,0.54,0.46,0.48,0.59,0.69,0.52,0.32,0.59,0.51,0.4,0.5,0.58,0.35,0.53,0.59,0.51,0.37,0.62,0.48,0.43,0.52,0.52,0.37,0.52,0.4,0.4,0.52,0.66,0.61,0.5,0.33,0.49,0.0,0.48,0.0,0.37,0.71,0.52,,0.33,0.58,0.62,0.5,0.52,0.57,0.53,0.46,0.52,0.49,0.39,0.59,0.52,0.47,0.45,0.46,0.4,0.59,0.43,0.51,0.53,0.62,0.43,0.33,0.55,0.57
JCSprout,0.54,0.65,0.51,0.46,0.48,0.0,0.46,0.56,0.44,0.49,0.49,0.58,0.36,0.54,0.59,0.48,0.48,0.52,0.45,0.36,0.45,0.47,0.52,0.47,,0.15,0.35,0.49,0.0,0.39,0.49,0.45,0.46,0.48,0.47,0.52,0.5,0.6,0.48,0.42,0.52,0.49,0.51,0.42,1.0,0.47,0.0,0.46,0.53,0.44,0.54,0.52,0.41,0.51,0.37,0.38,0.37,0.49,0.49,0.58,0.46,0.49,0.53,0.63,0.44,0.52,0.35,0.53,0.39,0.43,0.46,0.42,0.49,0.45,0.54,0.55,0.34,0.16,0.47,0.5,0.51,0.5,0.47,0.53,0.44,0.49,0.58,0.59,0.66,0.53,0.53,0.48,0.54,0.46,0.46,0.53,0.55,0.48,0.56,0.54,0.51,0.64,0.45,0.5,0.51,0.5,0.31,0.44,0.39,0.43,0.52,0.53,0.55,0.49,0.58,0.51,0.0,0.44,0.0,0.43,0.71,0.5,0.43,0.46,0.57,0.57,0.45,0.45,0.46,0.59,0.46,0.45,0.47,0.46,0.44,0.44,0.47,0.5,0.37,0.45,0.55,0.34,0.49,0.5,0.64,0.45,0.4,0.54,0.54
JDeodorant,0.47,0.71,0.5,0.51,0.5,0.0,0.47,0.61,0.62,0.52,0.56,0.65,0.49,0.59,0.56,0.45,0.56,0.54,0.5,0.49,0.52,0.52,0.47,0.48,0.46,0.56,0.41,0.51,0.0,0.51,0.38,0.59,0.51,0.43,0.49,0.62,0.64,0.59,0.7,0.5,0.48,0.51,0.46,0.5,1.0,0.47,0.0,0.49,0.51,0.44,0.54,0.57,,0.52,0.61,0.51,0.44,0.52,0.46,0.49,0.57,0.48,0.6,0.53,0.51,0.61,0.39,0.55,0.56,0.57,0.5,0.57,0.55,0.42,0.57,0.23,0.38,0.53,0.51,0.53,0.56,0.48,0.54,0.42,0.44,0.47,0.5,0.5,0.66,0.47,0.39,0.57,0.52,0.48,0.42,0.49,0.55,0.5,0.69,0.54,0.57,0.48,0.54,0.49,0.54,0.52,0.48,0.49,0.45,0.46,0.5,0.58,0.62,0.36,0.38,0.49,0.0,0.47,0.0,0.43,0.36,0.48,0.46,0.48,0.47,0.61,0.55,0.52,0.59,0.6,0.53,0.52,0.5,0.46,0.58,0.52,0.47,0.51,0.45,0.48,0.53,0.52,0.46,0.51,0.43,0.55,0.46,0.52,0.51
JiaoZiVideoPlayer,,0.22,0.43,0.48,0.41,0.0,0.38,0.24,0.41,0.43,0.36,0.36,0.38,0.37,0.43,0.39,0.49,0.45,0.4,0.36,0.5,0.4,0.34,0.44,0.44,0.53,0.42,0.41,0.0,0.5,0.45,0.39,0.47,0.47,0.42,0.27,0.64,0.58,0.43,0.36,0.42,0.39,0.44,0.42,0.83,0.42,0.0,0.37,0.43,0.39,0.52,0.48,0.41,0.49,0.35,0.41,0.42,0.46,0.42,0.41,0.52,0.41,0.41,0.43,0.36,0.48,0.51,0.58,0.51,0.44,0.5,0.42,0.43,0.34,0.43,0.36,0.41,0.55,0.46,0.39,0.39,0.45,0.46,0.4,0.38,0.45,0.36,0.42,0.34,0.49,0.43,0.42,0.46,0.41,0.49,0.34,0.34,0.38,0.54,0.45,0.31,0.4,0.4,0.42,0.48,0.48,0.41,0.46,0.35,0.46,0.45,0.55,0.59,0.46,0.44,0.46,0.0,0.47,0.0,0.25,0.35,0.51,0.43,0.39,0.4,0.32,0.45,0.42,0.43,0.39,0.44,0.43,0.44,0.43,0.45,0.41,0.42,0.46,0.39,0.43,0.47,0.43,0.42,0.44,0.37,0.44,0.25,0.41,0.47
Lean,0.5,0.74,0.46,0.49,0.49,0.0,0.5,0.69,0.55,0.53,0.53,0.61,0.48,0.61,0.6,0.49,0.69,0.55,0.57,0.55,0.47,0.52,0.52,0.54,0.48,0.52,0.46,0.49,0.0,0.39,0.33,0.56,0.55,0.47,0.51,0.61,0.64,0.45,0.67,0.54,0.5,0.54,0.48,0.5,1.0,0.51,0.0,0.53,0.5,0.44,0.61,0.58,0.43,0.55,0.61,0.56,0.41,0.55,0.49,0.5,0.6,0.49,0.59,0.46,0.54,0.61,0.28,0.76,0.54,0.46,0.49,0.58,0.57,0.4,0.56,0.47,0.32,0.5,0.6,0.52,0.56,0.51,0.53,0.41,0.46,0.52,0.53,0.53,0.64,0.47,0.48,0.59,0.47,0.48,0.29,0.54,0.54,0.52,0.75,0.53,0.51,0.53,0.49,,0.51,0.48,0.41,0.48,0.44,0.53,0.45,0.58,0.57,0.45,0.54,0.5,0.0,0.49,0.0,0.43,0.43,0.43,0.59,0.51,0.52,0.57,0.55,0.51,0.55,0.58,0.49,0.5,0.5,0.48,0.6,0.52,0.49,0.53,0.51,0.52,0.61,0.55,0.56,0.52,0.58,0.51,0.4,0.5,0.57
LightTable,0.34,0.29,0.49,0.44,0.39,0.0,0.44,0.6,0.38,0.51,0.4,0.46,0.37,0.27,0.51,0.46,0.53,0.47,0.41,0.42,0.5,0.47,0.39,0.35,0.42,0.59,0.45,0.46,0.0,0.5,0.25,0.42,0.44,0.31,0.39,0.5,0.57,0.14,0.42,0.46,0.36,0.4,0.38,0.5,1.0,0.38,0.0,0.39,0.38,0.47,0.49,0.55,0.39,,0.44,0.51,0.43,0.32,0.41,0.44,0.54,0.36,0.54,0.12,0.4,0.49,0.25,0.6,0.51,0.4,0.47,0.48,0.43,0.39,0.5,0.25,0.31,0.61,0.47,0.36,0.4,0.46,0.48,0.36,0.41,0.38,0.41,0.48,0.57,0.4,0.36,0.5,0.45,0.38,0.5,0.38,0.33,0.36,0.75,0.48,0.4,0.39,0.35,0.44,0.41,0.47,0.39,0.51,0.45,0.42,0.42,0.61,0.6,0.31,0.34,0.42,0.0,0.45,0.0,0.29,0.33,0.48,0.44,0.33,0.42,0.5,0.43,0.44,0.54,0.46,0.44,0.44,0.44,0.41,0.57,0.5,0.47,0.4,0.45,0.45,0.52,0.45,0.41,0.46,0.33,0.43,0.34,0.48,0.43
Luban,0.51,0.7,0.47,0.54,0.51,0.0,0.46,0.72,0.57,0.56,0.48,0.56,0.49,0.5,0.59,0.57,,0.53,0.55,0.54,0.5,0.5,0.55,0.52,0.46,0.54,0.48,0.51,0.0,0.52,0.48,0.53,0.52,0.51,0.48,0.56,0.64,0.32,0.51,0.55,0.43,0.51,0.44,0.48,1.0,0.45,0.0,0.47,0.51,0.44,0.56,0.55,0.46,0.56,0.6,0.57,0.49,0.55,0.5,0.5,0.6,0.5,0.61,0.47,0.47,0.58,0.51,0.65,0.55,0.48,0.52,0.56,0.53,0.48,0.52,0.32,0.49,0.58,0.6,0.56,0.52,0.47,0.58,0.44,0.51,0.52,0.55,0.51,0.57,0.51,0.52,0.6,0.44,0.46,0.44,0.54,0.33,0.51,0.67,0.53,0.51,0.47,0.43,0.54,0.54,0.46,0.46,0.49,0.55,0.53,0.5,0.46,0.5,0.35,0.51,0.47,0.0,0.46,0.0,0.4,0.38,0.48,0.63,0.58,0.46,0.56,0.54,0.51,0.54,0.56,0.52,0.48,0.54,0.52,0.59,0.53,0.48,0.51,0.49,0.5,0.62,0.52,0.49,0.5,0.58,0.5,0.44,0.49,0.47
MaterialDesignLibrary,0.31,0.26,0.49,0.39,0.32,0.0,0.47,0.32,0.47,0.45,0.33,0.27,0.45,0.4,0.41,0.48,0.36,0.4,0.53,0.45,0.52,0.44,0.43,0.29,0.42,0.59,0.45,0.36,0.0,0.53,0.45,0.38,0.48,0.33,0.41,0.34,0.64,0.4,0.41,0.44,0.32,0.5,0.34,0.48,1.0,0.36,0.0,0.48,0.38,0.51,0.44,0.5,0.29,0.41,0.5,0.44,0.43,0.32,0.47,0.45,0.51,0.45,0.33,0.55,0.47,0.48,0.47,0.64,0.48,0.47,0.5,0.53,0.48,0.39,0.44,0.19,0.41,0.6,0.5,0.37,0.41,0.48,0.48,0.35,0.46,0.32,0.43,0.37,0.29,0.35,0.26,0.43,0.46,0.4,0.49,0.49,,0.41,0.74,0.5,0.32,0.31,0.34,0.41,0.3,0.48,0.48,0.47,0.38,0.51,0.29,0.61,0.59,0.29,0.26,0.44,0.0,0.45,0.0,0.34,0.31,0.48,0.47,0.33,0.47,0.29,0.35,0.29,0.61,0.34,0.38,0.36,0.37,0.44,0.52,0.42,0.4,0.41,0.38,0.49,0.41,0.52,0.31,0.33,0.21,0.43,0.38,0.43,0.27
MaterialDrawer,0.5,0.62,0.54,0.34,0.47,0.0,0.44,0.48,0.41,0.52,0.5,0.5,0.29,0.41,0.47,0.5,0.51,0.46,0.46,0.52,0.46,0.5,0.5,0.47,0.48,0.35,0.41,0.49,0.0,0.57,0.43,0.48,0.45,0.46,0.46,0.51,0.5,0.44,0.47,0.43,0.54,0.49,0.51,0.49,1.0,0.41,0.0,0.44,0.54,0.44,0.39,0.59,0.47,0.51,0.43,0.43,0.43,0.49,0.44,0.51,0.54,0.5,0.53,0.27,0.44,0.55,0.26,0.69,0.54,0.51,0.49,0.48,0.49,0.38,0.48,0.58,0.29,0.52,0.51,0.53,0.49,0.48,0.48,0.5,0.5,0.5,0.46,0.56,0.55,0.52,0.42,0.53,0.51,0.4,0.53,0.53,0.32,0.45,0.59,0.53,0.39,0.56,0.46,0.5,0.49,0.51,0.4,0.5,0.44,0.42,0.52,0.62,0.62,0.5,0.35,0.46,0.0,0.49,0.0,0.33,,0.51,0.44,0.35,0.5,0.57,0.49,0.52,0.56,0.55,0.48,0.52,0.47,0.45,0.53,0.47,0.43,0.45,0.44,0.45,0.53,0.45,0.51,0.51,0.58,0.45,0.38,0.52,0.55
MaterialViewPager,0.47,0.61,0.5,,0.46,0.0,0.52,0.66,0.48,0.54,0.43,0.47,0.36,0.62,0.56,0.48,0.52,0.53,0.46,0.54,0.53,0.51,0.44,0.48,0.37,0.62,0.48,0.47,0.0,0.57,0.49,0.47,0.53,0.47,0.51,0.49,0.64,0.47,0.46,0.54,0.41,0.51,0.41,0.49,0.67,0.42,0.0,0.47,0.46,0.49,0.59,0.48,0.32,0.5,0.63,0.42,0.43,0.52,0.52,0.46,0.53,0.48,0.52,0.61,0.5,0.54,0.53,0.4,0.55,0.5,0.49,0.52,0.53,0.47,0.52,0.2,0.5,0.63,0.5,0.5,0.49,0.52,0.56,0.47,0.45,0.42,0.48,0.43,0.48,0.52,0.41,0.55,0.5,0.52,0.51,0.58,0.46,0.55,0.55,0.47,0.49,0.37,0.35,0.45,0.44,0.51,0.56,0.53,0.56,0.58,0.42,0.58,0.48,0.28,0.35,0.46,0.0,0.45,0.0,0.41,0.35,0.5,0.5,0.49,0.47,0.37,0.44,0.39,0.58,0.4,0.45,0.43,0.42,0.51,0.6,0.48,0.48,0.49,0.39,0.51,0.56,0.53,0.38,0.5,0.42,0.57,0.42,0.46,0.38
Matisse,0.4,0.74,0.56,0.51,0.49,0.0,0.52,0.56,0.59,0.56,0.53,0.66,0.54,0.67,,0.54,0.5,0.52,0.53,0.56,0.57,0.54,0.6,0.31,0.47,0.63,0.67,0.55,0.0,0.54,0.31,0.56,0.49,0.37,0.48,0.66,0.64,0.56,0.76,0.47,0.47,0.58,0.39,0.5,1.0,0.41,0.0,0.51,0.51,0.45,0.54,0.66,0.45,0.55,0.62,0.49,0.49,0.56,0.51,0.47,0.59,0.51,0.6,0.67,0.6,0.64,0.3,0.76,0.63,0.59,0.51,0.59,0.58,0.38,0.6,0.21,0.31,0.52,0.59,0.57,0.56,0.48,0.58,0.38,0.57,0.4,0.56,0.49,0.68,0.38,0.31,0.63,0.51,0.46,0.53,0.49,0.45,0.55,0.75,0.57,0.58,0.4,0.43,0.48,0.5,0.52,0.64,0.57,0.44,0.53,0.44,0.69,0.62,0.31,0.3,0.46,0.0,0.57,0.0,0.65,0.34,0.52,0.59,0.36,0.5,0.52,0.55,0.51,0.65,0.55,0.49,0.54,0.44,0.49,0.67,0.54,0.43,0.57,0.49,0.52,0.69,0.56,0.43,0.52,0.34,0.53,0.49,0.51,0.44
PermissionsDispatcher,0.48,0.76,0.5,0.49,0.5,0.0,0.5,0.71,0.65,0.54,0.54,0.66,0.5,0.64,0.68,0.47,0.48,0.56,0.55,0.57,0.57,0.55,0.5,0.42,0.46,0.63,0.64,0.54,0.0,0.49,0.48,0.56,0.54,0.42,0.51,0.63,0.64,0.58,0.66,0.52,0.46,0.57,0.44,0.45,0.83,0.48,0.0,0.52,0.56,0.5,0.6,0.62,0.34,0.54,0.69,0.57,0.44,0.56,0.52,0.48,0.58,0.53,0.6,0.66,0.56,0.6,0.53,0.32,0.6,0.67,0.45,0.58,0.55,0.46,0.59,0.2,0.48,0.54,0.51,0.54,0.55,0.53,0.56,0.42,0.53,0.44,0.57,0.47,0.68,0.45,0.37,0.57,0.53,0.48,0.47,0.46,0.57,0.55,0.72,0.51,0.59,0.4,0.41,0.52,0.52,0.54,0.64,0.55,0.58,0.51,0.45,0.63,0.58,0.3,0.35,0.52,0.0,0.54,0.0,0.65,0.34,0.49,0.55,0.53,0.5,0.5,0.55,0.46,0.65,0.55,0.48,0.54,0.44,0.52,0.63,0.52,0.48,0.56,0.47,0.54,0.66,0.55,0.44,0.52,0.39,,0.55,0.51,0.44
PhotoView,0.53,0.63,0.54,0.49,0.51,0.0,0.44,0.44,0.43,0.53,0.44,0.64,0.36,0.44,0.51,0.56,0.52,0.52,0.5,0.51,0.35,0.54,0.55,0.37,0.46,0.42,0.44,0.54,0.0,0.55,0.44,0.55,0.45,0.44,0.45,0.62,0.5,0.59,0.52,0.4,0.55,0.54,0.52,0.51,1.0,0.38,0.0,0.49,0.48,0.44,0.38,0.57,0.46,0.55,0.53,0.47,0.42,0.49,0.48,0.55,0.48,0.51,0.59,0.29,0.51,0.58,0.29,0.89,0.55,0.52,0.53,0.61,0.52,0.34,0.57,0.57,0.29,0.39,0.56,0.52,0.52,0.5,0.49,0.51,0.53,0.48,0.51,0.66,0.57,0.52,0.36,0.56,0.5,0.41,0.5,0.64,0.37,0.51,0.59,0.55,0.43,0.66,0.49,0.43,0.53,0.55,0.42,0.51,0.31,0.42,0.52,0.67,0.61,0.51,0.31,0.48,0.0,0.49,0.0,0.43,0.73,0.52,0.56,0.34,0.6,0.57,0.5,0.53,0.61,0.58,0.46,,0.49,0.45,0.61,0.5,0.47,0.51,0.46,0.43,0.59,0.46,0.5,0.53,0.59,0.44,0.4,0.55,0.57
RefactoringMiner,0.49,0.4,0.49,0.42,0.51,0.0,0.49,0.54,0.39,0.44,0.46,0.42,0.47,0.31,0.48,0.48,0.51,0.5,0.43,0.39,0.47,0.37,0.4,0.47,0.39,0.45,0.34,0.48,0.0,0.5,0.47,0.38,0.45,0.5,0.45,0.3,0.5,0.2,0.37,0.45,0.42,0.46,0.47,0.42,0.33,0.43,0.0,0.42,0.44,0.44,0.49,0.42,0.46,0.43,0.36,0.4,,0.45,0.48,0.47,0.55,0.45,0.41,0.31,0.39,0.46,0.53,0.43,0.48,0.35,0.5,0.5,0.43,0.47,0.46,0.53,0.45,0.62,0.49,0.44,0.44,0.38,0.48,0.42,0.47,0.51,0.46,0.48,0.2,0.49,0.47,0.39,0.41,0.4,0.52,0.47,0.24,0.33,0.48,0.49,0.47,0.45,0.43,0.47,0.48,0.42,0.43,0.48,0.52,0.5,0.44,0.48,0.41,0.44,0.57,0.46,0.0,0.42,0.0,0.37,0.42,0.51,0.46,0.49,0.44,0.48,0.47,0.51,0.4,0.54,0.48,0.45,0.46,0.49,0.4,0.42,0.5,0.44,0.52,0.44,0.44,0.47,0.48,0.48,0.58,0.45,0.33,0.45,0.5
RxPermissions,0.5,0.72,0.49,0.53,0.51,0.0,0.53,0.71,,0.61,0.57,0.61,0.54,0.59,0.72,0.55,0.66,0.54,0.52,0.54,0.57,0.51,0.56,0.51,0.39,0.54,0.58,0.56,0.0,0.55,0.5,0.56,0.49,0.5,0.5,0.6,0.64,0.47,0.53,0.53,0.5,0.54,0.44,0.52,1.0,0.5,0.0,0.51,0.52,0.43,0.57,0.55,0.4,0.54,0.61,0.54,0.47,0.57,0.51,0.47,0.56,0.55,0.62,0.61,0.54,0.64,0.57,0.58,0.64,0.58,0.52,0.56,0.57,0.53,0.57,0.22,0.45,0.63,0.58,0.57,0.55,0.53,0.59,0.45,0.55,0.49,0.54,0.47,0.65,0.51,0.44,0.62,0.5,0.51,0.53,0.49,0.34,0.53,0.61,0.56,0.58,0.39,0.44,0.52,0.53,0.54,0.59,0.53,0.52,0.58,0.47,0.51,0.5,0.36,0.33,0.5,0.0,0.54,0.0,0.53,0.36,0.48,0.52,0.52,0.44,0.57,0.57,0.5,0.64,0.55,0.49,0.52,0.46,0.5,0.59,0.52,0.47,0.52,0.48,0.49,0.59,0.55,0.43,0.52,0.41,0.6,0.45,0.48,0.44
Signal-Android,0.45,0.67,0.52,0.52,0.52,0.0,0.5,0.71,0.58,0.6,0.49,0.62,0.27,0.48,0.65,0.53,0.61,0.55,0.5,0.45,0.41,0.48,0.58,0.43,0.52,0.47,0.46,0.56,0.0,0.53,0.43,0.52,0.49,0.41,0.5,0.61,0.4,0.52,0.58,0.49,0.53,0.54,0.47,0.51,1.0,0.48,0.0,0.5,0.56,0.41,0.57,0.61,0.56,0.54,0.47,0.49,0.47,0.58,0.51,0.49,0.59,0.54,0.64,0.56,0.6,0.59,0.43,0.61,0.54,0.46,0.47,0.6,0.53,0.47,0.58,0.29,0.38,0.39,0.56,0.59,0.55,0.51,0.57,0.39,0.56,0.5,0.56,,0.66,0.52,0.36,0.61,0.54,0.46,0.5,0.49,0.39,0.51,0.73,0.55,0.57,0.46,0.51,0.53,0.54,0.53,0.51,0.53,0.46,0.45,0.48,0.5,0.55,0.36,0.37,0.5,0.0,0.54,0.0,0.58,0.41,0.51,0.42,0.48,0.52,0.59,0.55,0.54,0.61,0.59,0.53,0.49,0.52,0.51,0.5,0.53,0.48,0.53,0.42,0.51,0.59,0.5,0.5,0.54,0.42,0.53,0.37,0.53,0.52
SlidingMenu,0.45,0.74,0.54,0.49,0.5,0.0,0.49,0.54,0.58,0.55,0.54,0.64,0.51,0.51,0.63,0.53,0.52,0.51,0.5,0.52,0.49,0.54,0.56,0.33,0.47,0.63,0.59,0.52,0.0,0.5,0.33,,0.52,0.43,0.48,0.66,0.64,0.37,0.7,0.48,0.49,0.56,0.42,0.51,1.0,0.42,0.0,0.52,0.54,0.52,0.54,0.64,0.43,0.53,0.62,0.54,0.49,0.54,0.49,0.48,0.59,0.5,0.61,0.48,0.47,0.55,0.28,0.71,0.58,0.58,0.49,0.53,0.5,0.38,0.56,0.27,0.31,0.5,0.56,0.54,0.55,0.48,0.52,0.4,0.5,0.43,0.47,0.51,0.67,0.43,0.33,0.58,0.52,0.45,0.49,0.46,0.56,0.53,0.75,0.51,0.55,0.41,0.48,0.5,0.53,0.5,0.43,0.54,0.45,0.49,0.44,0.68,0.63,0.42,0.31,0.48,0.0,0.49,0.0,0.46,0.38,0.5,0.59,0.35,0.49,0.57,0.5,0.51,0.56,0.56,0.5,0.51,0.46,0.48,0.58,0.55,0.47,0.51,0.46,0.52,0.65,0.46,0.47,0.52,0.39,0.5,0.46,0.51,0.48
Telegram,0.46,0.61,0.35,0.48,0.46,0.0,0.44,0.7,0.41,0.46,0.45,0.53,0.31,0.53,0.44,0.39,0.39,0.5,0.44,0.39,0.33,0.48,0.5,0.42,0.36,0.18,0.34,0.45,0.0,0.28,0.43,0.45,0.44,0.48,0.37,0.49,0.5,0.43,0.35,0.4,0.43,0.43,0.38,0.26,0.0,0.4,0.0,0.46,0.45,0.41,0.52,0.23,0.43,0.51,0.36,0.39,0.34,0.43,0.45,0.43,0.3,0.34,0.49,0.59,0.5,0.52,0.47,0.14,0.29,0.46,0.53,0.4,0.48,0.44,0.45,0.52,0.4,0.27,0.45,0.51,0.42,0.24,0.5,0.38,0.4,0.45,0.44,0.48,,0.54,0.46,0.47,0.34,0.34,0.32,0.34,0.44,0.46,0.06,0.41,0.49,0.38,0.48,0.33,0.46,0.34,0.36,0.33,0.47,0.43,0.42,0.23,0.23,0.42,0.57,0.45,0.0,0.41,0.0,0.5,0.42,0.31,0.37,0.46,0.34,0.53,0.42,0.52,0.36,0.54,0.4,0.48,0.41,0.45,0.29,0.4,0.43,0.42,0.47,0.43,0.46,0.37,0.42,0.43,0.57,0.42,0.5,0.37,0.51
ViewPagerIndicator,0.41,0.67,0.52,0.54,0.47,0.0,0.48,0.58,0.58,0.52,0.48,0.58,0.32,0.54,0.51,0.45,0.5,0.5,0.54,0.4,0.51,0.48,0.52,0.35,0.39,0.47,0.63,0.52,0.0,0.53,0.44,0.5,0.49,0.4,0.48,0.56,0.5,0.58,0.56,0.49,0.47,0.53,0.39,0.47,0.83,0.42,0.0,0.49,0.51,0.47,0.58,0.6,0.34,0.54,0.47,0.44,0.47,0.55,0.5,0.46,0.55,0.5,0.6,0.6,0.54,0.56,0.34,0.59,,0.58,0.41,0.55,0.5,0.39,0.57,0.21,0.39,0.37,0.52,0.55,0.5,0.49,0.52,0.39,0.53,0.41,0.52,0.5,0.63,0.45,0.34,0.62,0.5,0.47,0.51,0.46,0.53,0.52,0.74,0.55,0.52,0.4,0.44,0.47,0.46,0.51,0.57,0.53,0.43,0.5,0.44,0.6,0.6,0.29,0.34,0.47,0.0,0.51,0.0,0.39,0.34,0.52,0.42,0.41,0.5,0.5,0.54,0.46,0.63,0.49,0.48,0.47,0.46,0.48,0.59,0.57,0.46,0.55,0.45,0.49,0.59,0.57,0.45,0.51,0.39,0.54,0.38,0.5,0.46
