,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,raven-monitoring.csv,smbopensoft.csv,xharbour.csv,flylinkdc.csv,reactos-mirror.csv,qpe.csv,xbrlapi.csv,prelude.csv,neoengine.csv,atunes.csv,avifile.csv,lamp.csv,logicmail.csv,wgs-assembler.csv,plearn.csv,werx.csv,plog4u.csv,openwbem.csv,qgo.csv,jaql.csv,kmatplot.csv,pclasses.csv,agilitybook.csv,triplea.csv,raygina.csv,wpdev.csv,owfs.csv,olap-navigator.csv,pokeglobal.csv,nova.csv,sauerbraten.csv,graphmak.csv,jgameai.csv,gpsmid.csv,empyrean.csv,awemud.csv,crisscross.csv,re2c.csv,tzod.csv,octave.csv,adaptagrams.csv,open-media-library.csv,vdsf.csv,alit.csv,orc.csv,lazarus-ccr.csv,n2cms.csv,forester-atv.csv,mob-sen-plat.csv,nh3d.csv,amanda.csv,rectracker.csv,dynalloy.csv,mpqc.csv,thout.csv,benojt.csv,sabbu.csv,unladen-swallow.csv,powerfolder-.csv,barracudamvc.csv,guineu.csv,
qgo.csv,1,0.96,1,0.04,0,0,0,0.86,0.15,0,1,0.81,0.84,0,1,1,1,0.5,0,1,1,0,0,0,0,1,1,0.1,0.06,0.08,1,1,0,0.03,1,1,0,,0.88,0.99,1,0,0.9,1,0,1,1,0.76,1,0.12,1,1,0.92,1,1,1,0,0.98,0.53,1,0.91,0.01,,1,0,0.93,0.22,1,0,0,1,0.73,0,1,1,0.98,0,0.96,1,1,29
qpe.csv,1,0.94,1,0.2,0,0,0,0.79,0.44,0,1,0.98,0.62,0,1,1,1,0,0.01,1,0.97,0,0,0,,1,1,0.16,0.12,0.18,0.99,1,0,0.14,1,1,0,0.54,0.88,0.98,1,0,0.52,1,0.5,1,1,0.55,1,0.54,1,1,0.79,1,1,1,0,0.85,0.07,1,0.63,0.11,,1,0,1,0.35,1,0,0,1,0.84,0,1,1,0.85,0,0.96,1,1,26
raven-monitoring.csv,0.29,0.61,0.31,0.99,1,1,1,0.98,0.96,0.99,0,0.39,0.51,1,0.08,0.16,0.61,1,0.97,,1,1,1,1,1,0.3,0,0.97,1,0.97,0.27,0.15,1,0.99,0,0.19,1,0.57,0.78,0.39,0.07,1,0.9,0,0.5,0.4,0.04,0.41,0,0.71,0.35,0.21,0.47,0.08,0.23,0.06,1,0.48,0.88,0.29,0.98,1,,0.32,1,0.62,0.98,0.1,1,1,0.63,0.43,1,0.28,0,0.46,1,0.89,0.55,0.33,25
raygina.csv,0.86,1,1,1,1,1,1,1,1,1,1,0.98,1,1,0.42,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,0.75,0.71,1,1,1,1,0.88,1,1,,1,1,0.48,1,0.25,1,0.8,0.4,1,0.79,1,0.89,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0.93,1,1,1,1,1,0.95,1
re2c.csv,0.04,0.04,0.04,0,0.26,0.03,0.06,0.07,0.2,0.41,0.06,0.26,0.03,0.23,0.25,0,0,0,0.01,0.19,0,0.05,0.14,1,0.14,0.02,0,0.02,0.4,0.06,0.02,0,0.01,0.01,0,0.23,0.03,0.11,0.02,0.05,0.02,0.01,0.05,0.14,0,0,0,0,0.07,0.12,0.04,0.4,0,0.03,0.03,0.03,,0.02,0,0,0.2,0,,0.09,0.46,0.09,0.1,0,0,0.02,0,0.22,0.16,0.24,0.67,0.04,1,0.11,0,0.03,71
reactos-mirror.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
rectracker.csv,0.96,0.73,0.67,0.48,0.23,0.24,0.92,0.85,0.71,0.54,0.86,0.76,0.6,0.75,0.75,0.51,0.71,0.5,0.44,0.6,0.92,0.32,0.75,0,0.59,0.9,0.36,0.67,0.46,0.71,0.88,1,0.83,0.53,1,0.95,0.38,0.63,0.67,0.57,0.57,0.48,0.48,1,1,0.71,0.89,0.48,0.82,0.88,0.8,0.97,0.66,0.76,0.77,0.5,0.61,0.67,0.83,0.88,0.83,0.49,,0.99,0.89,0.7,0.78,0.65,0.35,0.47,,1,0.7,0.77,1,0.41,0,0.89,0.8,0.97,5
rhex.csv,0.19,0,,0,0,0,0,0,0,0,0.24,0.11,0,0,0.75,0.15,0.02,0,0,0,0,0,0,0,0,0.52,0.45,0,0,0,0,0.1,0,0,0,0.42,0,0,0,0,0.3,0,0,0.65,0,0.19,0.26,0,0.14,0,0.15,0.63,0,0.42,0.03,0.81,0,0,0,0.08,0,0,,0.24,0,0.03,0,0,0,0,0,0.04,0,0.14,0.33,0,0,0,0.8,0.12,69
sabbu.csv,0.58,0.21,0.48,0.01,0,0,0,0.16,0,0,0.51,0.31,0.12,0,0.75,1,0.85,0,0,0.31,0.75,0,0,0,0,0.68,1,0,0,0,0.32,0.1,0,0,0.75,0.39,0,0,0.06,0.57,0.73,0,0,0.88,0,0.92,0.78,0,0.7,0.12,0.39,0.56,0.26,0.92,0.8,1,0,0.38,0.03,0.79,0.07,0,,0.55,0,0.51,0,0.55,0,0,0.15,0.44,0,0.46,0,,0,0.41,0.65,0.59,46
sauerbraten.csv,1,1,1,0.63,0,0,0,1,0.8,0,1,0.98,1,0,1,1,1,1,0.25,1,1,0,0,0,0.01,1,1,0.99,0.69,0.71,1,1,0,0.63,1,1,0,0.91,0.97,1,1,0,0.9,1,0.5,1,1,0.76,1,,1,1,1,1,1,1,0,1,0.29,1,0.98,0.98,,1,0,1,0.78,1,0,0,1,1,0,1,1,1,0,1,1,1,20
selenium.csv,0.99,0.55,0.94,0,0,0,0,0.02,0,0,1,,0,0,1,0.48,1,0,0,0.79,0.73,0,0,0,0,1,1,0,0,0,0.97,1,0,0,1,1,0,0,0,0.39,1,0,0,1,0,0.65,1,0,1,0,1,1,0.05,1,0.97,1,0,0.12,0,1,0,0,,1,0,0.3,0,0.95,0,0,0.7,0.51,0,1,1,0.13,0,0.57,1,1,42
smbopensoft.csv,0.95,0.55,0.7,0.02,0,0,0,0.29,0.11,0,0.98,0.81,0.56,0,1,1,0.9,1,0,0.63,,0,0,0,0,0.9,1,0.01,0.02,0.02,0.95,0.75,0,0,1,0.87,0,0.34,0.26,0.67,0.93,0,0.57,0.95,0,0.92,0.96,0.45,1,0.46,0.78,0.95,0.68,0.92,0.7,0.94,0,0.67,0.1,0.62,0.59,0,,0.91,0,0.74,0.2,0.9,0,0,0.59,0.75,0,0.97,1,0.94,0,0.82,0.75,0.91,31
thout.csv,0.96,0,0.15,0,0,0,0,0,0,0,0.96,0.02,0,0,1,0,0.83,0,0,0.08,0,0,0,0,0,0.82,1,0,0,0,0,1,0,0,1,0.84,0,0,0,0,1,0,0,1,0,0.12,1,0,1,0,0.93,1,0,1,0.5,1,0,0,0,0.25,0,0,,0.44,0,0,0,0.85,0,0,0,0,0,,0.67,0,0,0,1,0.72,55
triplea.csv,0.06,0.54,0.16,0.99,1,1,1,0.55,0.82,1,0.02,0.19,0.15,1,0.17,0,0.22,1,1,0.04,0.03,1,1,1,1,0.08,0,1,1,1,0.02,0,1,1,0,0.07,1,0.71,0.4,0.13,0.02,1,,0,0.5,0.02,0,0.45,0,0.88,0.09,0,0.29,0,0.03,0.01,1,0.44,0.58,0.42,0.57,1,,0.07,1,0.24,0.95,0.05,1,1,0.26,0.22,1,0.03,0,0.22,1,0.14,0.05,0.1,39
tzod.csv,0.74,0.92,0.98,0.01,0,0,0,0.12,0,0,0.98,0.26,0.33,0,0.83,1,0.51,0,0,0.44,0,0,0,0,0,0.8,1,0.02,0,0.06,0.62,0.85,0,0.02,0.75,0.62,0,0.09,0.2,0.57,0.98,0,0.29,1,0,0.98,0.67,0.03,1,0,0.76,0.83,0.08,1,0.97,1,0,,0.12,0.96,0.28,0,,0.81,0,0.38,0.18,0.85,0,0,0.15,0.44,0,0.28,0,0.7,0,0.18,0.8,0.64,45
umber.csv,1,0.96,1,0.29,0,0,0,0.57,,0,1,0.91,0.92,0,0.92,1,1,0.5,0,1,0.96,0,0,0,0,1,1,0.28,0.03,0.03,1,1,0,0.34,1,0.99,0,0.34,0.79,0.96,1,0,0.81,1,0.5,1,1,0.55,1,0.08,1,1,0.61,1,1,1,0,0.5,0.34,1,0.72,0.61,,1,0,0.95,0,0.95,0,0,1,0.46,0,0.99,1,1,0,0.88,1,0.97,25
unladen-swallow.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,78
vdsf.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
werx.csv,0.93,1,1,1,1,1,1,1,1,1,0.98,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.98,1,1,1,1,1,1,1,0.91,1,0.98,1,1,0.7,1,1,0.89,1,0.97,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0.99,1,0.94,1,1,1,1,1,0.91,0
wgs-assembler.csv,1,1,1,0.48,0,0,0.16,0.97,0.67,0.11,1,1,0.82,0,1,1,1,1,0.15,1,1,0,0,0,0.14,1,1,0.55,0.47,0.68,0.99,1,,0.46,1,1,0,0.66,0.98,1,1,0.04,0.9,1,0.5,1,1,0.79,1,0.79,1,1,0.95,1,1,1,0,0.96,0.4,1,0.89,0.43,,1,0,1,0.65,1,0,0.02,1,0.96,0,1,1,0.91,0,0.99,1,1,18
wpdev.csv,1,1,1,1,0,0.55,0.92,0.98,0.98,0.7,1,1,1,0.24,1,1,1,1,0.98,1,1,0,0.34,0,0.98,1,1,0.99,0.94,0.98,1,1,0.94,0.99,1,1,0.74,0.97,0.99,1,1,0.8,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,1,0.71,1,0.9,1,0.35,0.77,1,0.99,0,1,1,1,0,1,1,1,7
x4x.csv,0.87,0,0.56,0,0,0,0,0.01,0,0,0.98,0.11,0.01,0,,0.85,0.41,0,0,0.29,0.06,0,0,0,0,0.78,1,0,0,0,0,1,0,0,0.5,0.87,0,0,0.01,0.14,1,0,0,1,0,0.67,0.93,0,1,0,0.85,1,0.03,1,0.6,1,0,0,0,0.96,0,0,,0.61,0,0.08,0,0.7,0,0,0.11,0.03,0,0.69,1,0,0,0.04,0.95,0.31,52
xbrlapi.csv,0.24,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.92,0,0.17,0,0,0.19,0,0,0,0,0,,0.55,0,0,0,0,0.2,0,0,0,0.04,0,0,0,0,0.68,0,0,1,0,0,0.33,0,0.45,0,0.17,0.48,0,0.87,0.07,0.73,0,0,0,0.04,0,0,,0,0,0,0,0.1,0,0,0,0,0,0.14,0,0,0,0,0.35,0.1,69
xharbour.csv,1,1,1,1,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2
