project,f1,precision,recall,g-score,d2h,pci_20,ifa
aztec.csv,0.88,0.85,0.92,0,1,98,63
joustsim.csv,0.8,0.83,0.79,0.54,0.53,92,13
oorexx.csv,0.67,0.67,0.67,0.68,0.49,91,2
maidsafe-dht.csv,0.68,0.63,0.73,0,1,93,14
cubefs.csv,0.62,0.64,0.67,0.49,0.82,95,0
rodin-b-sharp.csv,0.83,0.87,0.84,0.81,0.43,98,0
chaosrts.csv,0.8,0.81,0.84,0,1,96,0
xmemcached.csv,0.78,0.78,0.78,0.56,0.5,94,3
synergyspace.csv,0.7,0.68,0.73,0.2,0.84,96,22
psrchive.csv,0.76,0.69,0.83,0,1,94,17
lockss.csv,0.7,0.65,0.79,0,1,95,21
algebsql.csv,0.71,0.73,0.71,0.74,0.45,92,7
jbasic.csv,0.49,0.72,0.54,0.3,0.78,96,13
all-plasm.csv,0.57,0.6,0.6,0.62,0.67,90,6
patterntesting.csv,0.55,0.59,0.56,0.2,0.84,93,10
linuxsh.csv,0.79,0.81,0.79,0.54,0.53,92,11
ppcboot.csv,0.64,0.64,0.64,0.68,0.53,97,9
jasperreports.csv,0.92,0.9,0.94,0,1,99,99
icescrum.csv,0.53,0.52,0.55,0.29,0.8,90,7
kolmafia.csv,0.63,0.64,0.62,0.59,0.53,94,1
rhex.csv,0.81,0.78,0.83,0,1,94,17
reactos-mirror.csv,0.44,0.35,0.59,0,1,99,174
qwired-suite.csv,0.71,0.71,0.71,0.68,0.54,92,2
quarkplayer.csv,0.91,0.88,0.94,0,1,97,33
kreatecd.csv,0.46,0.45,0.46,0.33,0.79,92,8
l2j.csv,0.73,0.75,0.76,0.73,0.56,98,6
bscwweasel.csv,0.79,0.76,0.82,0,1,96,31
quickfast.csv,0.57,0.8,0.6,0.49,0.67,93,1
mscore.csv,0.6,0.6,0.6,0.62,0.59,97,4
open-ms.csv,0.7,0.63,0.8,0,1,98,87
olap-navigator.csv,0.82,0.82,0.82,0.83,0.41,94,1
findbugs.csv,0.58,0.58,0.6,0.49,0.7,93,9
irplus.csv,0.39,0.56,0.43,0.44,0.8,92,11
jmule.csv,0.64,0.64,0.64,0.48,0.6,90,2
arcallians.csv,0.59,0.59,0.59,0.59,0.6,94,1
xcf.csv,0.54,0.54,0.54,0.55,0.69,91,6
heekscad.csv,0.63,0.63,0.62,0.64,0.56,95,1
cities3d.csv,0.87,0.86,0.91,0.29,0.75,98,19
megasquirtavr.csv,0.72,0.71,0.74,0.29,0.76,94,14
ivataopenportal.csv,0.59,0.59,0.59,0.57,0.58,97,1
continuum-ide.csv,0.71,0.7,0.73,0.38,0.68,90,2
libopenmetaverse.csv,0.5,0.5,0.5,0.43,0.71,92,2
rockbox.csv,0.72,0.8,0.73,0.55,0.52,90,1
intact.csv,0.58,0.58,0.6,0.37,0.73,95,2
salasaga.csv,0.78,0.74,0.83,0,1,97,35
triplea.csv,0.6,0.6,0.6,0.54,0.6,90,0
trinitycore.csv,0.65,0.57,0.76,0,1,97,44
bl-toolkit.csv,0.57,0.56,0.64,0.5,0.82,92,3
hannosset.csv,0.83,0.86,0.86,0,1,93,14
empserver.csv,0.48,0.5,0.5,0.33,0.77,92,0
ninject.csv,0.83,0.83,0.83,0,1,91,11
roller.csv,0.64,0.67,0.64,0.62,0.57,96,8
encog-java.csv,0.82,0.77,0.87,0,1,98,74
elvishrayrenderer.csv,0.55,0.57,0.55,0.55,0.76,90,1
ingex.csv,0.55,0.56,0.56,0.37,0.73,93,10
umber.csv,0.93,0.94,0.93,0.79,0.25,93,0
matrex.csv,0.72,0.74,0.72,0.61,0.45,96,10
jgameai.csv,0.58,0.65,0.65,0.45,0.61,94,5
factor.csv,0.79,0.87,0.79,0.72,0.4,92,5
owlapi.csv,0.76,0.7,0.81,0,1,96,30
octet.csv,0.87,0.83,0.91,0,1,90,10
lksctp.csv,0.68,0.67,0.69,0.68,0.63,93,3
alembik.csv,0.64,0.8,0.7,0.71,0.67,90,1
freebios.csv,0.6,0.6,0.6,0.6,0.57,95,4
elmo.csv,0.89,0.86,0.93,0,1,92,13
hazelcast.csv,0.91,0.93,0.92,0.83,0.5,92,2
migen.csv,0.43,0.46,0.44,0.34,0.86,93,2
pclasses.csv,0.78,0.72,0.8,0,1,92,12
avifile.csv,0.89,0.86,0.93,0,1,92,13
tweetsharp.csv,0.64,0.64,0.64,0.6,0.71,90,0
array4j.csv,0.68,0.63,0.73,0,1,93,14
opendvr.csv,0.68,0.67,0.69,0.52,0.62,93,0
moast.csv,0.93,0.95,0.94,0.87,0.17,98,0
jaolt.csv,0.63,0.63,0.67,0.52,0.81,95,0
pcgen.csv,0.69,0.77,0.7,0.64,0.56,96,1
rosegarden.csv,0.81,0.82,0.82,0.57,0.48,98,9
netatalk.csv,0.64,0.6,0.64,0,1,90,8
beast-mcmc.csv,0.67,0.71,0.73,0.43,0.62,97,3
customsagetv.csv,0.84,0.88,0.84,0.91,0.33,94,9
baadengine.csv,0.75,0.76,0.78,0.7,0.62,99,0
gnome-jabber.csv,0.92,0.9,0.95,0,1,94,1
yarp0.csv,0.68,0.68,0.7,0.38,0.68,90,5
wxcrp.csv,0.63,0.61,0.67,0.2,0.83,95,16
sigil.csv,0.73,0.73,0.74,0.77,0.41,94,1
emulemorph.csv,0.93,0.91,0.95,0,1,95,21
lmms.csv,0.7,0.75,0.73,0.73,0.53,97,0
primefaces.csv,0.55,0.56,0.57,0.48,0.71,92,0
jnode.csv,0.95,0.93,0.96,0,1,98,81
qdvdauthor.csv,0.49,0.45,0.5,0,1.01,91,1
ftm.csv,0.59,0.61,0.61,0.52,0.61,96,2
mb-unit.csv,0.79,0.73,0.85,0,1,99,13
logicmail.csv,0.82,0.88,0.82,0.84,0.29,90,1
illumination.csv,0.7,0.68,0.76,0.29,0.77,93,14
sevenupdate.csv,0.82,0.81,0.82,0,1,90,0
opennms.csv,0.52,0.52,0.55,0.2,0.91,95,13
gamestone.csv,0.9,0.92,0.91,0.56,0.5,91,10
jam-daq.csv,0.55,0.55,0.55,0.56,0.64,95,2
badtrinitycore.csv,0.83,0.79,0.89,0,1,98,80
kftpgrabber.csv,0.58,0.8,0.58,0.37,0.75,94,0
qtwin.csv,1,1,1,0,1,99,497
snakeyaml.csv,0.81,0.79,0.85,0.2,0.84,97,9
mevenide.csv,0.69,0.7,0.68,0.38,0.67,95,3
robocode.csv,0.56,0.67,0.64,0.54,0.67,90,2
red5.csv,0.38,0.36,0.46,0.25,0.92,93,1
springside.csv,0.67,0.67,0.67,0.5,0.56,96,0
ltp.csv,0.57,0.48,0.69,0,1,98,14
gretl.csv,0.75,0.69,0.83,0,1,97,0
ambulant.csv,0.6,0.64,0.61,0.48,0.64,95,13
yaprm.csv,0.33,0.33,0.38,0.16,0.95,93,3
bulmages.csv,0.66,0.62,0.7,0,1.01,95,19
oscarmcmaster.csv,0.7,0.63,0.8,0,1,97,44
superwaba.csv,0.63,0.63,0.66,0.34,0.72,96,19
proftp.csv,0.62,0.62,0.62,0.55,0.54,92,4
kmatplot.csv,0.73,0.66,0.81,0.2,0.88,96,25
nuttx.csv,0.74,0.68,0.8,0,1,97,0
checker-framework.csv,0.74,0.71,0.79,0,1,92,12
plato.csv,0.84,0.82,0.89,0.77,0.51,90,0
alpine.csv,0.9,0.87,0.93,0,1,96,29
ns-3-dev-def-routing.csv,0.63,0.62,0.63,0.48,0.61,97,18
inkscape.csv,0.55,0.64,0.57,0.45,0.65,93,0
thrust.csv,0.6,0.55,0.71,0,1,91,11
fulguro.csv,0.83,0.78,0.88,0,1,94,17
gusanos.csv,0.72,0.83,0.78,0.69,0.55,94,3
popeye-chess.csv,0.68,0.79,0.69,0.6,0.48,93,9
blogentis.csv,0.74,0.76,0.74,0.45,0.6,94,6
tigermud.csv,0.64,0.69,0.64,0.6,0.52,90,0
moving-pictures.csv,0.46,0.45,0.46,0.36,0.79,91,8
critterding.csv,0.57,0.57,0.57,0.52,0.64,93,7
wxcode.csv,0.9,0.88,0.89,0,1,93,15
unicase.csv,0.61,0.53,0.72,0,1,99,0
v8.csv,0.9,0.87,0.93,0,1,97,0
x-ray-mule.csv,0.78,0.85,0.8,0.83,0.5,90,4
tango-cs.csv,0.44,0.36,0.57,0,1,95,21
geochat.csv,0.63,0.58,0.69,0,1,96,24
roolo.csv,0.83,0.83,0.83,0.77,0.28,90,4
quantlib.csv,0.79,0.86,0.83,0.24,0.8,95,5
bullet.csv,0.73,0.73,0.76,0.6,0.75,94,2
kowari.csv,0.88,0.88,0.89,0,1,94,16
free-evolution.csv,0.64,0.63,0.69,0.2,0.87,96,24
multitude.csv,0.52,0.52,0.52,0.48,0.71,96,1
stemkit.csv,0.87,0.87,0.87,0,1,93,14
xamj.csv,0.73,0.73,0.75,0.5,0.56,98,2
jlinalg.csv,0.78,0.8,0.77,0.77,0.39,92,0
cortex-vfx.csv,0.72,0.77,0.78,0.23,0.82,98,38
tokratan.csv,0.84,0.8,0.86,0,1,96,27
anaxagora.csv,0.66,0.66,0.62,0,1,96,25
ibatisdb.csv,0.73,0.82,0.75,0.81,0.36,96,22
cascading.csv,0.64,0.66,0.65,0.48,0.72,96,0
gbif-indexingtoolkit.csv,0.7,0.68,0.75,0,1,91,11
boost-sandbox.csv,0.62,0.55,0.73,0.4,0.88,96,0
owlib.csv,0.69,0.7,0.68,0.56,0.51,98,1
optalgtoolkit.csv,0.4,0.33,0.5,0.22,1.01,90,5
forester-atv.csv,0.56,0.69,0.62,0.41,0.81,92,0
zorannt.csv,0.79,0.78,0.81,0.24,0.8,96,25
ogrehg.csv,0.48,0.5,0.6,0.47,0.84,98,3
voms.csv,0.77,0.75,0.8,0,1,93,14
genoviz.csv,0.85,0.81,0.9,0,1,90,9
kwave.csv,0.61,0.62,0.64,0,1,92,13
gogoego.csv,0.68,0.68,0.74,0.14,0.89,98,45
re2c.csv,0.87,0.83,0.91,0,1,90,10
gabel.csv,0.89,0.89,0.9,0,1,95,19
grisbi.csv,0.82,0.84,0.81,0.81,0.37,93,1
wheat.csv,0.45,0.47,0.45,0.48,0.78,90,1
omseek.csv,0.83,0.78,0.89,0,1,98,60
nabu-library.csv,0.68,0.71,0.69,0.76,0.5,97,0
jmoney.csv,0.63,0.64,0.62,0.53,0.6,91,1
orc.csv,0.86,0.82,0.87,0,1,96,30
tencompetence.csv,0.72,0.72,0.73,0.75,0.48,98,0
mpqc.csv,0.78,0.72,0.85,0,1,96,25
acdk.csv,0.59,0.51,0.71,0,1,98,72
alleg.csv,0.71,0.74,0.72,0.72,0.64,96,2
wxjs.csv,0.85,0.81,0.9,0,1,95,19
sqlpower-library.csv,0.76,0.78,0.75,0.76,0.4,91,2
tcvp.csv,0.76,0.78,0.76,0,1,94,16
xuggle.csv,0.84,0.79,0.89,0,1,98,82
fluidium.csv,0.23,0.2,0.27,0,1.12,90,9
jrefactory.csv,0.59,0.63,0.59,0.56,0.63,94,3
passwordsafe.csv,0.7,0.71,0.7,0.57,0.54,96,4
guineu.csv,0.68,0.69,0.69,0.45,0.62,94,0
zengine.csv,0.87,0.9,0.89,0.83,0.5,90,0
lite.csv,0.6,0.67,0.67,0.58,0.67,90,0
haphazard.csv,0.76,0.69,0.83,0,1,92,11
itext.csv,0.67,0.82,0.69,0.56,0.57,92,3
nug.csv,0.63,0.68,0.64,0.38,0.67,90,6
carabiner.csv,0.52,0.49,0.57,0.24,0.86,92,10
hydrogen.csv,0.91,0.91,0.91,0.71,0.34,95,1
opde.csv,0.57,0.57,0.57,0.44,0.69,92,0
botsnscouts.csv,0.6,0.6,0.6,0.63,0.57,90,4
pnotepad.csv,0.74,0.68,0.82,0,1,91,0
sepgsql.csv,0.94,0.92,0.96,0,1,99,116
jsr308-langtools.csv,0.64,0.8,0.7,0.62,0.67,90,1
pokenetonline.csv,0.76,0.76,0.76,0.77,0.6,94,1
qlc.csv,0.85,0.85,0.85,0.29,0.75,96,18
zact.csv,0.92,0.92,0.92,0,1,96,24
mumble.csv,0.67,0.68,0.67,0.45,0.6,94,13
javagroups.csv,0.59,0.61,0.64,0.38,0.68,96,2
yield.csv,0.74,0.75,0.74,0.74,0.41,96,1
yarp.csv,0.38,0.38,0.38,0.23,0.94,92,10
openefm.csv,0.63,0.64,0.68,0.47,0.64,95,7
jfreereport.csv,0.8,0.75,0.87,0,1,99,268
jas.csv,0.89,0.91,0.92,0,1,96,23
jcl.csv,0.82,0.77,0.88,0,1,95,22
nunit.csv,0.76,0.76,0.79,0.29,0.75,97,3
bacula.csv,0.64,0.64,0.67,0.62,0.72,96,4
jatlas.csv,0.89,0.85,0.92,0,1,92,12
nativeclient.csv,0.56,0.6,0.61,0.6,0.68,97,0
hydrate.csv,0.46,0.5,0.45,0.44,0.76,90,0
ivatamasks.csv,0.74,0.75,0.75,0.71,0.56,96,2
projectfactory.csv,0.57,0.59,0.59,0.51,0.66,94,2
tzod.csv,0.63,0.66,0.64,0.61,0.52,93,8
qtractor.csv,0.54,0.59,0.56,0.51,0.65,90,2
enlightenment.csv,0.48,0.54,0.58,0.27,0.93,99,2
xined.csv,0.74,0.67,0.82,0,1,90,10
dvt.csv,0.62,0.65,0.68,0.43,0.64,96,7
rcp-company-uibindings.csv,0.94,0.92,0.96,0,1,98,0
atomsite.csv,0.57,0.49,0.6,0.28,0.87,92,12
atunes.csv,0.95,0.93,0.97,0,1,99,119
chipster.csv,0.57,0.6,0.56,0.55,0.76,96,1
pi-qmc.csv,0.78,0.79,0.8,0.55,0.51,93,2
jhotdraw.csv,0.74,0.67,0.82,0,1,98,66
st-filteredstatistics.csv,0.78,0.78,0.8,0.75,0.42,90,0
apolloplayer.csv,0.69,0.67,0.71,0.24,0.81,95,10
minig.csv,0.67,0.67,0.67,0.59,0.52,96,2
knowledge.csv,0.86,0.86,0.86,0,1,92,0
loki-lib.csv,0.49,0.49,0.53,0.49,0.75,93,3
jslibs.csv,0.84,0.83,0.86,0.61,0.75,96,0
fw4spl.csv,0.8,0.75,0.87,0,1,98,73
